Soft Label	Title	URL
Surveys	Half of Business Leaders Say ChatGPT Experience Is More Valuable Than a College Degree - Intelligent	https://www.intelligent.com/half-of-business-leaders-say-chatgpt-experience-is-more-valuable-than-a-college-degree/
Surveys	New Survey Finds Students Are Replacing Human Tutors With ChatGPT - Intelligent	https://www.intelligent.com/new-survey-finds-students-are-replacing-human-tutors-with-chatgpt/
Surveys	One-Third of College Students Used ChatGPT for Schoolwork During the 2022-23 Academic Year - Intelligent	https://www.intelligent.com/one-third-of-college-students-used-chatgpt-for-schoolwork-during-the-2022-23-academic-year/
System Resource Centers	Welcome | Systemwide Generative AI Resources (calstate.edu)	https://genai.calstate.edu/
System Resource Centers	CCCCO Generative AI and the Future of Teaching and Learning (boarddocs.com)	https://go.boarddocs.com/ca/cccchan/Board.nsf/files/D7BVFY8099A1/$file/Generative%20AI%20and%20the%20Future%20of%20Teaching%20and%20Learning%207-17-24%202.pdf
System Resource Centers	Navigating the Landscape of Higher Education in the Age of Artificial Intelligence | Office for Faculty Excellence (ncsu.edu)	https://provost.ncsu.edu/ofe/navigating-the-landscape-of-higher-education-in-the-age-of-artificial-intelligence/
System Resource Centers	Artificial Intelligence Resources | Teaching Support and Innovation (uoregon.edu)	https://teaching.uoregon.edu/ai
System Resource Centers	Learning With AI, Learning About AI - Professional Learning (CA Dept of Education)	https://www.cde.ca.gov/ci/pl/aiincalifornia.asp
System Resource Centers	Presidential Working Group on Artificial Intelligence | UCOP	https://www.ucop.edu/ethics-compliance-audit-services/compliance/presidential-working-group-on-artificial-intelligence.html
Tools	Yoodli.ai - AI powered Public Speaking coach (contact Jared Kubicka-Miller)	https://app.yoodli.ai/
Tools	Circleback - notetaking	https://circleback.ai/
Tools	Claude	https://claude.ai/
Tools	Coconote: AI note taker	https://coconote.app/
Tools	Consensus AI-powered Academic Search Engine	https://consensus.app/
Tools	CopyLeaks - AI for Plagiarism & AI Content Detection	https://copyleaks.com/
Tools	AI Lesson Planner - Education Copilot	https://educationcopilot.com/
Tools	Elicit - AI for analyzing research papers	https://elicit.com/
Tools	Google Gemini	https://gemini.google.com/app
Tools	AI-Assisted Grading and Answer Groups - Gradescope Help Center	https://help.gradescope.com/article/mv8qkiux00-instructor-assignment-ai-grading-answer-groups
Tools	Google NotebookLM - interact with collections of documents	https://notebooklm.google.com/
Tools	OpenAI (ChatGPT)	https://openai.com/
Tools	Otter.ai - AI Meeting Note Taker & Real-time AI Transcription	https://otter.ai/
Tools	PapyrusAI	https://papyrusai.org/
Tools	Pi AI will not write essays for students but does have a very robust conversation with users.	https://pi.ai/talk
Tools	There’s an AI for That - search for an AI tool for a variety of purposes	https://theresanaiforthat.com/
Tools	AILYZE - AI for qualitative research	https://www.ailyze.com/
Tools	Microsoft Copilot in Bing	https://www.bing.com/chat
Tools	Respondable: Write Better Emails with Boomerang for Gmail (boomeranggmail.com)	https://www.boomeranggmail.com/respondable/
Tools	Respondable: Write Better Emails with Boomerang for Outlook (boomerangoutlook.com)	https://www.boomerangoutlook.com/respondable/
Tools	Speech-to-Text Cloud API | Start for Free with ElevateAI by NICE	https://www.elevateai.com/?utm_source=bing&utm_medium=cpc&utm_term=elevate_ai&utm_detail=dentsu-all-us&msclkid=1f21cb0eaa5c1568b042ad7a34e5eab6&utm_campaign=IP%20%7C%20US%20%7C%20EN%20%7C%20Search%20%7C%20Elevate%20AI%20%7C%20Generic&utm_content=Generic
Tools	This is recast (letsrecast.ai)	https://www.letsrecast.ai/
Tools	Microsoft Copilot for Microsoft 365—Features and Plans | Microsoft 365	https://www.microsoft.com/en-us/microsoft-365/microsoft-copilot
Tools	Midjourney	https://www.midjourney.com/home
Tools	Perplexity	https://www.perplexity.ai/
Tools	Shortwave — Email like never before	https://www.shortwave.com/
Tools	Superhuman AI - email management	https://www.superhuman.ai/
Tools	WolframAlpha	https://www.wolframalpha.com/
Tools	AI Powered Audio Studio - Wondercraft	https://www.wondercraft.ai/
Tools	Yippity | AI Question Generator: Instant Multiple Choice, True/False, Fill-in-the-Blank Questions & More!	https://yippity.io/
Upcoming Workshops/Conferences	Digitally Mediated Learning | 21CSLA (berkeley.edu)	https://21cslacenter.berkeley.edu/professional-learning/dml
Upcoming Workshops/Conferences	Futures Summit 2024	https://californiacommunitycolleges.cventevents.com/event/FuturesSummit/websitePage:8e207706-2a08-4a51-a880-0231593b7cbb
Upcoming Workshops/Conferences	Learning Lab | Leveraging Generative AI in Higher Education: Practical Applications – September 2024	https://events.educause.edu/learning-labs/2024/leveraging-generative-ai-in-higher-education-practical-applications
Vision Resource Center 	Communities: CCC | Webinars, Conferences and Events: Topics: Chancellor's Office System Webinars: 9/25 Vision 2030: Generative AI in Higher Education Series #1 (csod.com)	https://cccpln.csod.com/phnx/driver.aspx?routename=Social/Topic/Posting/DiscussionPostingDetails&Posting=12104&query=%23q%3Dgenerative%2520AI%26s%3D%26a%3D
Vision Resource Center 	Communities: CCC | Webinars, Conferences and Events: Topics: Chancellor's Office System Webinars: 11/7 Vision 2030: Generative AI in Higher Education Series #2 (csod.com)	https://cccpln.csod.com/phnx/driver.aspx?routename=Social/Topic/Posting/DiscussionPostingDetails&Posting=12256&query=%23q%3Dgenerative%2520AI%26s%3D%26a%3D
Vision Resource Center 	Communities: CCC | Webinars, Conferences and Events: Topics: Chancellor's Office System Webinars: 2/27 Vision 2030: Generative AI in Higher Education Series #3 (csod.com)	https://cccpln.csod.com/phnx/driver.aspx?routename=Social/Topic/Posting/DiscussionPostingDetails&Posting=12426&query=%23q%3Dgenerative%2520AI%26s%3D%26a%3D
Vision Resource Center 	Communities: CCC | Webinars, Conferences and Events: Topics: Chancellor's Office System Webinars: 5/7 Vision 2030: Generative AI in Higher Education Series #4 (csod.com)	https://cccpln.csod.com/phnx/driver.aspx?routename=Social/Topic/Posting/DiscussionPostingDetails&Posting=12615&query=%23q%3Dgenerative%2520AI%26s%3D%26a%3D
Vision Resource Center 	Generative AI Business Ethics: How to Use AI Responsibly (csod.com)	https://cccpln.csod.com/ui/lms-learning-details/app/onlineContent/8b28a387-43c2-5a57-ba07-b23d9d2cc8a0
Vision Resource Center 	Transform Your Communication with Generative AI (csod.com)	https://cccpln.csod.com/ui/lms-learning-details/app/onlineContent/d5ccd1b5-521d-5c83-925b-2327a31c0d6e
Vision Resource Center 	Slides: Generative AI in Higher Education (cccco.edu)	https://www.cccco.edu/-/media/CCCCO-Website/docs/presentation-slides/k12-swp-5-15-24-pd-ai-and-productivity-webinar-a11y.pdf?la=en&hash=07FB5E8C9F586526AB356E0C85D894A5994BCC49
White House	FACT SHEET: President Biden Issues Executive Order on Safe, Secure, and Trustworthy Artificial Intelligence | The White House	https://www.whitehouse.gov/briefing-room/statements-releases/2023/10/30/fact-sheet-president-biden-issues-executive-order-on-safe-secure-and-trustworthy-artificial-intelligence/
White House	TTC-EC-CEA-AI-Report-12052022-1.pdf (whitehouse.gov)	https://www.whitehouse.gov/wp-content/uploads/2022/12/TTC-EC-CEA-AI-Report-12052022-1.pdf
